Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.2; rv:67.0.1) Gecko/20100101 Firefox/67.0.1'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0.2) Gecko/20100101 Firefox/67.0.2'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0.1) Gecko/20100101 Firefox/66.0.1'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0.2) Gecko/20100101 Firefox/58.0.2'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.5.2) Gecko/20100101 Firefox/52.5.2'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.1.1) Gecko/20100101 Firefox/52.1.1'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:66.0.4) Gecko/20100101 Firefox/66.0.4'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.1.0) Gecko/20100101 Firefox/60.1.0'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.7.1) Gecko/20100101 Firefox/52.7.1'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:65.0) Gecko/20100101 Firefox/65.0'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:55.0.3) Gecko/20100101 Firefox/55.0.3'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.3; rv:66.0) Gecko/20100101 Firefox/66.0'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0.5) Gecko/20100101 Firefox/66.0.5'} 
Run time: 2023-03-29 21:40:26.503200, Name: get_headers, Args: (), Kwargs: {}, Result: {'Accept': '*/*', 'Connection': 'keep-alive', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0.2) Gecko/20100101 Firefox/50.0.2'} 
